Login,Action_num,Action_zone,Action_type,Action_time,Duration,Action_area
М211ББИИН005,27,ZoneArgRadio1,Click,1639847268,1,Argument
М211ББИИН005,28,ZoneArgRadio1,Click,1639847269,2,Argument
М211ББИИН005,29,ZoneArgSource1,Click,1639847271,1,Argument
М211ББИИН005,30,ZoneApp,Pause,1639847272,5,AppPause
М211ББИИН005,31,ZoneApp,Resume,1639847277,6,AppResume
М211ББИИН005,32,ZoneReqText1,Click,1639847283,2,Request
М211ББИИН005,33,ZoneEndButton,Click,1639847285,48,End
М211ББИИН005,34,ZoneEndPopupYes,Click,1639847333,5,End
М211ББИИН005,35,,,1639847338,0,
М211ББИИН007,1,ZoneReqEngine1,Click,1639841594,53,Request
М211ББИИН007,2,ZoneReqEngine1,Click,1639841647,1,Request
М211ББИИН007,3,ZoneApp,Pause,1639841648,27,AppPause
М211ББИИН007,4,ZoneApp,Resume,1639841675,100,AppResume
М211ББИИН007,5,ZoneReqText1,Click,1639841775,1,Request
М211ББИИН007,6,ZoneReqEngine1,Click,1639841776,3,Request
М211ББИИН007,7,ZoneReqEngine1,Click,1639841779,1,Request
М211ББИИН007,8,ZoneApp,Pause,1639841780,13,AppPause
М211ББИИН007,9,ZoneApp,Resume,1639841793,26,AppResume
М211ББИИН007,10,ZoneApp,Pause,1639841819,29,AppPause
М211ББИИН007,11,ZoneApp,Resume,1639841848,119,AppResume
М211ББИИН007,12,ZoneArgText1,Click,1639841967,2,Argument
М211ББИИН007,13,ZoneArgSource1,Click,1639841969,21,Argument
М211ББИИН007,14,ZoneArgText1,Click,1639841990,5,Argument
М211ББИИН007,15,ZoneApp,Pause,1639841995,28,AppPause
М211ББИИН007,16,ZoneApp,Resume,1639842023,16,AppResume
М211ББИИН007,17,ZoneApp,Pause,1639842039,36,AppPause
М211ББИИН007,18,ZoneApp,Resume,1639842075,5,AppResume
М211ББИИН007,19,ZoneArgSource1,Click,1639842080,2,Argument
М211ББИИН007,20,ZoneArgRadio1,Click,1639842082,3,Argument
М211ББИИН007,21,ZoneArgRadio1,Click,1639842085,15,Argument
М211ББИИН007,22,ZoneArgPlusButton,Click,1639842100,2,Argument
М211ББИИН007,23,ZoneArgRadio1,Click,1639842102,3,Argument
М211ББИИН007,24,ZoneArgRadio1,Click,1639842105,2,Argument
М211ББИИН007,25,ZoneArgText2,Click,1639842107,1,Argument
М211ББИИН007,26,ZoneApp,Pause,1639842108,1,AppPause
М211ББИИН007,27,ZoneApp,Resume,1639842109,104,AppResume
М211ББИИН007,28,ZoneArgText2,Click,1639842213,1,Argument
М211ББИИН007,29,ZoneArgRadio1,Click,1639842214,21,Argument
М211ББИИН007,30,ZoneArgRadio1,Click,1639842235,2,Argument
М211ББИИН007,31,ZoneArgText2,Click,1639842237,1,Argument
М211ББИИН007,32,ZoneApp,Pause,1639842238,27,AppPause
М211ББИИН007,33,ZoneApp,Resume,1639842265,24,AppResume
М211ББИИН007,34,ZoneArgText2,Click,1639842289,2,Argument
М211ББИИН007,35,ZoneArgSource2,Click,1639842291,14,Argument
М211ББИИН007,36,ZoneReqPlusButton,Click,1639842305,2,Request
М211ББИИН007,37,ZoneReqEngine2,Click,1639842307,1,Request
М211ББИИН007,38,ZoneReqEngine2,Click,1639842308,1,Request
М211ББИИН007,39,ZoneApp,Pause,1639842309,2,AppPause
М211ББИИН007,40,ZoneApp,Resume,1639842311,6,AppResume
М211ББИИН007,41,ZoneArgSource2,Click,1639842317,2,Argument
М211ББИИН007,42,ZoneArgRadio2,Click,1639842319,2,Argument
М211ББИИН007,43,ZoneArgRadio2,Click,1639842321,1,Argument
М211ББИИН007,44,ZoneReqText2,Click,1639842322,1,Request
М211ББИИН007,45,ZoneApp,Pause,1639842323,2,AppPause
М211ББИИН007,46,ZoneApp,Resume,1639842325,22,AppResume
М211ББИИН007,47,ZoneEssayText,Click,1639842347,9,Essay
М211ББИИН007,48,ZoneApp,Pause,1639842356,140,AppPause
М211ББИИН007,49,ZoneApp,Resume,1639842496,66,AppResume
М211ББИИН007,50,ZoneEssaySourceButton,Click,1639842562,2,Essay
М211ББИИН007,51,ZoneSourceMessageOk,Click,1639842564,4,Source
М211ББИИН007,52,ZoneEssayText,Click,1639842568,2,Essay
М211ББИИН007,53,ZoneEssayText,Click,1639842570,6,Essay
М211ББИИН007,54,ZoneEssayText,Click,1639842576,0,Essay
М211ББИИН007,55,ZoneEssayText,Click,1639842576,2,Essay
М211ББИИН007,56,ZoneEssaySourceButton,Click,1639842578,1,Essay
М211ББИИН007,57,ZoneSourcePopupLink,Click,1639842579,2,Source
М211ББИИН007,58,ZoneSourcePopupAdd,Click,1639842581,3,Source
М211ББИИН007,59,ZoneEssayText,Click,1639842584,2,Essay
М211ББИИН007,60,ZoneApp,Pause,1639842586,19,AppPause
М211ББИИН007,61,ZoneApp,Resume,1639842605,5,AppResume
М211ББИИН007,62,ZoneEndButton,Click,1639842610,128,End
М211ББИИН007,63,ZoneEndPopupYes,Click,1639842738,3,End
М211ББИИН007,64,,,1639842741,0,
М211ББИИН008,1,ZoneArgText1,Click,1639841983,58,Argument
М211ББИИН008,2,ZoneArgSource1,Click,1639842041,0,Argument
М211ББИИН008,3,ZoneArgRadio1,Click,1639842041,1,Argument
М211ББИИН008,4,ZoneArgRadio1,Click,1639842042,0,Argument
М211ББИИН008,5,ZoneReqText1,Click,1639842042,1,Request
М211ББИИН008,6,ZoneApp,Pause,1639842043,5,AppPause
М211ББИИН008,7,ZoneApp,Resume,1639842048,25,AppResume
М211ББИИН008,8,ZoneEssayText,Click,1639842073,9,Essay
М211ББИИН008,9,ZoneEssayText,Click,1639842082,3,Essay
М211ББИИН008,10,ZoneReqText1,Click,1639842085,27,Request
М211ББИИН008,11,ZoneReqEngine1,Click,1639842112,1,Request
М211ББИИН008,12,ZoneReqEngine1,Click,1639842113,3,Request
М211ББИИН008,13,ZoneReqText1,Click,1639842116,1,Request
М211ББИИН008,14,ZoneApp,Pause,1639842117,1,AppPause
М211ББИИН008,15,ZoneApp,Resume,1639842118,4,AppResume
М211ББИИН008,16,ZoneApp,Pause,1639842122,0,AppPause
М211ББИИН008,17,ZoneApp,Resume,1639842122,29,AppResume
М211ББИИН008,18,ZoneApp,Pause,1639842151,6,AppPause
М211ББИИН008,19,ZoneApp,Resume,1639842157,471,AppResume
М211ББИИН008,20,ZoneReqEngine1,Click,1639842628,3,Request
М211ББИИН008,21,ZoneReqEngine1,Click,1639842631,1,Request
М211ББИИН008,22,ZoneReqText1,Click,1639842632,1,Request
М211ББИИН008,23,ZoneReqPlusButton,Click,1639842633,1,Request
М211ББИИН008,24,ZoneReqText2,Click,1639842634,1,Request
М211ББИИН008,25,ZoneApp,Pause,1639842635,1,AppPause
М211ББИИН008,26,ZoneApp,Resume,1639842636,1,AppResume
М211ББИИН008,27,ZoneApp,Pause,1639842637,1,AppPause
М211ББИИН008,28,ZoneApp,Resume,1639842638,13,AppResume
М211ББИИН008,29,ZoneArgText1,Click,1639842651,1,Argument
М211ББИИН008,30,ZoneArgSource1,Click,1639842652,5,Argument
М211ББИИН008,31,ZoneArgRadio1,Click,1639842657,1,Argument
М211ББИИН008,32,ZoneArgRadio1,Click,1639842658,4,Argument
М211ББИИН008,33,ZoneApp,Pause,1639842662,1,AppPause
М211ББИИН008,34,ZoneApp,Resume,1639842663,57,AppResume
М211ББИИН008,35,ZoneArgText1,Click,1639842720,3,Argument
М211ББИИН008,36,ZoneArgText1,Click,1639842723,2,Argument
М211ББИИН008,37,ZoneArgPlusButton,Click,1639842725,6,Argument
М211ББИИН008,38,ZoneArgRadio2,Click,1639842731,1,Argument
М211ББИИН008,39,ZoneArgRadio2,Click,1639842732,1,Argument
М211ББИИН008,40,ZoneApp,Pause,1639842733,3,AppPause
М211ББИИН008,41,ZoneApp,Resume,1639842736,64,AppResume
М211ББИИН008,42,ZoneArgText2,Click,1639842800,1,Argument
М211ББИИН008,43,ZoneReqText2,Click,1639842801,4,Request
М211ББИИН008,44,ZoneReqEngine2,Click,1639842805,2,Request
М211ББИИН008,45,ZoneReqEngine2,Click,1639842807,1,Request
М211ББИИН008,46,ZoneArgSource2,Click,1639842808,0,Argument
М211ББИИН008,47,ZoneArgRadio2,Click,1639842808,1,Argument
М211ББИИН008,48,ZoneArgRadio2,Click,1639842809,1,Argument
М211ББИИН008,49,ZoneArgSource2,Click,1639842810,0,Argument
М211ББИИН008,50,ZoneApp,Pause,1639842810,1,AppPause
М211ББИИН008,51,ZoneApp,Resume,1639842811,7,AppResume
М211ББИИН008,52,ZoneArgSource2,Click,1639842818,2,Argument
М211ББИИН008,53,ZoneArgText2,Click,1639842820,1,Argument
М211ББИИН008,54,ZoneApp,Pause,1639842821,1,AppPause
М211ББИИН008,55,ZoneApp,Resume,1639842822,63,AppResume
М211ББИИН008,56,ZoneApp,Pause,1639842885,3,AppPause
М211ББИИН008,57,ZoneApp,Resume,1639842888,18,AppResume
М211ББИИН008,58,ZoneArgText2,Click,1639842906,1,Argument
М211ББИИН008,59,ZoneArgPlusButton,Click,1639842907,8,Argument
М211ББИИН008,60,ZoneArgText3,Click,1639842915,1,Argument
М211ББИИН008,61,ZoneArgRadio3,Click,1639842916,1,Argument
М211ББИИН008,62,ZoneArgRadio3,Click,1639842917,1,Argument
М211ББИИН008,63,ZoneArgSource3,Click,1639842918,1,Argument
М211ББИИН008,64,ZoneArgSource3,Click,1639842919,3,Argument
М211ББИИН008,65,ZoneArgText3,Click,1639842922,1,Argument
М211ББИИН008,66,ZoneApp,Pause,1639842923,1,AppPause
М211ББИИН008,67,ZoneApp,Resume,1639842924,1,AppResume
М211ББИИН008,68,ZoneApp,Pause,1639842925,1,AppPause
М211ББИИН008,69,ZoneApp,Resume,1639842926,3,AppResume
М211ББИИН008,70,ZoneApp,Pause,1639842929,1,AppPause
М211ББИИН008,71,ZoneApp,Resume,1639842930,2,AppResume
М211ББИИН008,72,ZoneApp,Pause,1639842932,2,AppPause
М211ББИИН008,73,ZoneApp,Resume,1639842934,8,AppResume
М211ББИИН008,74,ZoneEssayText,Click,1639842942,1,Essay
М211ББИИН008,75,ZoneEssayText,Click,1639842943,26,Essay
М211ББИИН008,76,ZoneEssayText,Click,1639842969,1,Essay
М211ББИИН008,77,ZoneEssayText,Click,1639842970,65,Essay
М211ББИИН008,78,ZoneEssayText,Click,1639843035,11,Essay
М211ББИИН008,79,ZoneEssayText,Click,1639843046,60,Essay
М211ББИИН008,80,ZoneEssayText,Click,1639843106,7,Essay
М211ББИИН008,81,ZoneEndButton,Click,1639843113,4,End
М211ББИИН008,82,ZoneEndPopupYes,Click,1639843117,1,End
М211ББИИН008,83,,,1639843118,0,
М211ББИИН009,1,ZoneReqText1,Click,1640088277,40,Request
М211ББИИН009,2,ZoneReqEngine1,Click,1640088317,1,Request
М211ББИИН009,3,ZoneReqEngine1,Click,1640088318,2,Request
М211ББИИН009,4,ZoneReqEngine1,Click,1640088320,1,Request
М211ББИИН009,5,ZoneReqEngine1,Click,1640088321,0,Request
М211ББИИН009,6,ZoneReqText1,Click,1640088321,3,Request
М211ББИИН009,7,ZoneReqText1,Click,1640088324,34,Request
М211ББИИН009,8,ZoneEssayText,Click,1640088358,94,Essay
М211ББИИН009,9,ZoneArgText1,Click,1640088452,149,Argument
М211ББИИН009,10,ZoneArgSource1,Click,1640088601,12,Argument
М211ББИИН009,11,ZoneArgRadio1,Click,1640088613,2,Argument
М211ББИИН009,12,ZoneArgRadio1,Click,1640088615,5,Argument
М211ББИИН009,13,ZoneArgSource1,Click,1640088620,2,Argument
М211ББИИН009,14,ZoneEndButton,Click,1640088622,19,End
М211ББИИН009,15,ZoneEndPopupYes,Click,1640088641,2,End
М211ББИИН009,16,,,1640088643,0,
М211ББИИН010,1,ZoneReqText1,Click,1639842550,2,Request
М211ББИИН010,2,ZoneReqEngine1,Click,1639842552,1,Request
М211ББИИН010,3,ZoneReqEngine1,Click,1639842553,1,Request
М211ББИИН010,4,ZoneReqText1,Click,1639842554,1,Request
М211ББИИН010,5,ZoneArgText1,Click,1639842555,2,Argument
М211ББИИН010,6,ZoneArgSource1,Click,1639842557,0,Argument
М211ББИИН010,7,ZoneArgRadio1,Click,1639842557,1,Argument
М211ББИИН010,8,ZoneArgRadio1,Click,1639842558,1,Argument
М211ББИИН010,9,ZoneEssayText,Click,1639842559,1,Essay
М211ББИИН010,10,ZoneApp,Pause,1639842560,1,AppPause
М211ББИИН010,11,ZoneApp,Resume,1639842561,29,AppResume
М211ББИИН010,12,ZoneReqText1,Click,1639842590,1,Request
М211ББИИН010,13,ZoneArgSource1,Click,1639842591,17,Argument
М211ББИИН010,14,ZoneArgSource1,Click,1639842608,0,Argument
М211ББИИН010,15,ZoneEssayText,Click,1639842608,0,Essay
М211ББИИН010,16,ZoneArgText1,Click,1639842608,1,Argument
М211ББИИН010,17,ZoneReqText1,Click,1639842609,1,Request
М211ББИИН010,18,ZoneArgText1,Click,1639842610,16,Argument
М211ББИИН010,19,ZoneReqText1,Click,1639842626,1,Request
М211ББИИН010,20,ZoneApp,Pause,1639842627,1,AppPause
М211ББИИН010,21,ZoneApp,Resume,1639842628,6,AppResume
М211ББИИН010,22,ZoneArgText1,Click,1639842634,1,Argument
М211ББИИН010,23,ZoneArgSource1,Click,1639842635,2,Argument
М211ББИИН010,24,ZoneArgText1,Click,1639842637,1,Argument
М211ББИИН010,25,ZoneApp,Pause,1639842638,2,AppPause
М211ББИИН010,26,ZoneApp,Resume,1639842640,2,AppResume
М211ББИИН010,27,ZoneApp,Pause,1639842642,0,AppPause
М211ББИИН010,28,ZoneApp,Resume,1639842642,0,AppResume
М211ББИИН010,29,ZoneArgText1,Click,1639842642,0,Argument
М211ББИИН010,30,ZoneEssayText,Click,1639842642,8,Essay
М211ББИИН010,31,ZoneEssaySourceButton,Click,1639842650,1,Essay
М211ББИИН010,32,ZoneSourceMessageOk,Click,1639842651,3,Source
М211ББИИН010,33,ZoneEssayText,Click,1639842654,0,Essay
М211ББИИН010,34,ZoneApp,Pause,1639842654,4,AppPause
М211ББИИН010,35,ZoneApp,Resume,1639842658,0,AppResume
М211ББИИН010,36,ZoneApp,Pause,1639842658,0,AppPause
М211ББИИН010,37,ZoneApp,Resume,1639842658,2,AppResume
М211ББИИН010,38,ZoneEssayText,Click,1639842660,0,Essay
М211ББИИН010,39,ZoneEndButton,Click,1639842660,27,End
М211ББИИН010,40,ZoneEndPopupYes,Click,1639842687,2,End
М211ББИИН010,41,,,1639842689,0,
М211ББИИН012,1,ZoneReqText1,Click,1639841043,35,Request
М211ББИИН012,2,ZoneReqText1,Click,1639841078,6,Request
М211ББИИН012,3,ZoneArgSource1,Click,1639841084,7,Argument
М211ББИИН012,4,ZoneArgText1,Click,1639841091,1,Argument
М211ББИИН012,5,ZoneEssayText,Click,1639841092,4,Essay
М211ББИИН012,6,ZoneEssayText,Click,1639841096,1,Essay
М211ББИИН012,7,ZoneEssayText,Click,1639841097,1,Essay
М211ББИИН012,8,ZoneEssayText,Click,1639841098,0,Essay
М211ББИИН012,9,ZoneEssayText,Click,1639841098,1,Essay
М211ББИИН012,10,ZoneEssayText,Click,1639841099,0,Essay
М211ББИИН012,11,ZoneEssayText,Click,1639841099,2,Essay
М211ББИИН012,12,ZoneEssayText,Click,1639841101,0,Essay
М211ББИИН012,13,ZoneEssayText,Click,1639841101,0,Essay
М211ББИИН012,14,ZoneArgText1,Click,1639841101,2,Argument
М211ББИИН012,15,ZoneEssayText,Click,1639841103,0,Essay
М211ББИИН012,16,ZoneEssayText,Click,1639841103,0,Essay
М211ББИИН012,17,ZoneEssayText,Click,1639841103,0,Essay
М211ББИИН012,18,ZoneReqText1,Click,1639841103,2,Request
М211ББИИН012,19,ZoneEssayText,Click,1639841105,57,Essay
М211ББИИН012,20,ZoneReqText1,Click,1639841162,1,Request
М211ББИИН012,21,ZoneReqText1,Click,1639841163,4,Request
М211ББИИН012,22,ZoneReqText1,Click,1639841167,2,Request
М211ББИИН012,23,ZoneReqText1,Click,1639841169,2,Request
М211ББИИН012,24,ZoneReqText1,Click,1639841171,1,Request
М211ББИИН012,25,ZoneReqPlusButton,Click,1639841172,16,Request
М211ББИИН012,26,ZoneReqMinusButton2,Click,1639841188,2,Request
М211ББИИН012,27,ZoneArgText1,Click,1639841190,1,Argument
М211ББИИН012,28,ZoneEssayText,Click,1639841191,1,Essay
М211ББИИН012,29,ZoneEssayText,Click,1639841192,0,Essay
М211ББИИН012,30,ZoneEssayText,Click,1639841192,4,Essay
М211ББИИН012,31,ZoneEssayText,Click,1639841196,0,Essay
М211ББИИН012,32,ZoneArgText1,Click,1639841196,1,Argument
М211ББИИН012,33,ZoneReqText1,Click,1639841197,13,Request
М211ББИИН012,34,ZoneApp,Pause,1639841210,2,AppPause
М211ББИИН012,35,ZoneApp,Resume,1639841212,17,AppResume
М211ББИИН012,36,ZoneApp,Resume,1639841229,0,AppResume
М211ББИИН012,37,ZoneArgText1,Click,1639841229,2,Argument
М211ББИИН012,38,ZoneArgText1,Click,1639841231,11,Argument
М211ББИИН012,39,ZoneArgText1,Click,1639841242,7,Argument
М211ББИИН012,40,ZoneApp,Pause,1639841249,32,AppPause
М211ББИИН012,41,ZoneApp,Resume,1639841281,46,AppResume
М211ББИИН012,42,ZoneApp,Resume,1639841327,0,AppResume
М211ББИИН012,43,ZoneApp,Pause,1639841327,9,AppPause
М211ББИИН012,44,ZoneApp,Resume,1639841336,15,AppResume
М211ББИИН012,45,ZoneApp,Resume,1639841351,0,AppResume
М211ББИИН012,46,ZoneApp,Pause,1639841351,13,AppPause
М211ББИИН012,47,ZoneApp,Resume,1639841364,4,AppResume
М211ББИИН012,48,ZoneApp,Resume,1639841368,0,AppResume
М211ББИИН012,49,ZoneApp,Pause,1639841368,8,AppPause
М211ББИИН012,50,ZoneApp,Resume,1639841376,2,AppResume
М211ББИИН012,51,ZoneApp,Resume,1639841378,0,AppResume
М211ББИИН012,52,ZoneArgText1,Click,1639841378,7,Argument
М211ББИИН012,53,ZoneArgSource1,Click,1639841385,5,Argument
М211ББИИН012,54,ZoneApp,Pause,1639841390,2,AppPause
М211ББИИН012,55,ZoneApp,Resume,1639841392,5,AppResume
М211ББИИН012,56,ZoneApp,Resume,1639841397,0,AppResume
М211ББИИН012,57,ZoneArgPlusButton,Click,1639841397,11,Argument
М211ББИИН012,58,ZoneEssayText,Click,1639841408,1,Essay
М211ББИИН012,59,ZoneEssayText,Click,1639841409,1,Essay
М211ББИИН012,60,ZoneEssayText,Click,1639841410,0,Essay
М211ББИИН012,61,ZoneEssayText,Click,1639841410,0,Essay
М211ББИИН012,62,ZoneEssaySourceButton,Click,1639841410,2,Essay
М211ББИИН012,63,ZoneSourceMessageOk,Click,1639841412,4,Source
М211ББИИН012,64,ZoneArgText2,Click,1639841416,12,Argument
М211ББИИН012,65,ZoneApp,Pause,1639841428,4,AppPause
М211ББИИН012,66,ZoneApp,Resume,1639841432,19,AppResume
М211ББИИН012,67,ZoneApp,Resume,1639841451,0,AppResume
М211ББИИН012,68,ZoneEssayText,Click,1639841451,4,Essay
М211ББИИН012,69,ZoneEssayText,Click,1639841455,0,Essay
М211ББИИН012,70,ZoneEssayText,Click,1639841455,0,Essay
М211ББИИН012,71,ZoneArgText2,Click,1639841455,4,Argument
М211ББИИН012,72,ZoneApp,Pause,1639841459,2,AppPause
М211ББИИН012,73,ZoneApp,Resume,1639841461,3,AppResume
М211ББИИН012,74,ZoneApp,Resume,1639841464,0,AppResume
М211ББИИН012,75,ZoneEssayText,Click,1639841464,5,Essay
М211ББИИН012,76,ZoneEssayText,Click,1639841469,0,Essay
М211ББИИН012,77,ZoneEssayText,Click,1639841469,1,Essay
М211ББИИН012,78,ZoneEssayText,Click,1639841470,0,Essay
М211ББИИН012,79,ZoneEssaySourceButton,Click,1639841470,0,Essay
М211ББИИН012,80,ZoneSourceMessageOk,Click,1639841470,2,Source
М211ББИИН012,81,ZoneEssayText,Click,1639841472,1,Essay
М211ББИИН012,82,ZoneEssayText,Click,1639841473,0,Essay
М211ББИИН012,83,ZoneEssayText,Click,1639841473,1,Essay
М211ББИИН012,84,ZoneEssayText,Click,1639841474,0,Essay
М211ББИИН012,85,ZoneEssayText,Click,1639841474,0,Essay
М211ББИИН012,86,ZoneEssayText,Click,1639841474,0,Essay
М211ББИИН012,87,ZoneEssayText,Click,1639841474,0,Essay
М211ББИИН012,88,ZoneEssayText,Click,1639841474,1,Essay
М211ББИИН012,89,ZoneEssayText,Click,1639841475,0,Essay
М211ББИИН012,90,ZoneEssayText,Click,1639841475,0,Essay
М211ББИИН012,91,ZoneEssayText,Click,1639841475,1,Essay
М211ББИИН012,92,ZoneEssayText,Click,1639841476,1,Essay
М211ББИИН012,93,ZoneEssayText,Click,1639841477,0,Essay
М211ББИИН012,94,ZoneArgText2,Click,1639841477,7,Argument
М211ББИИН012,95,ZoneEssayText,Click,1639841484,1,Essay
М211ББИИН012,96,ZoneEssayText,Click,1639841485,0,Essay
М211ББИИН012,97,ZoneEssayText,Click,1639841485,0,Essay
М211ББИИН012,98,ZoneEssayText,Click,1639841485,0,Essay
М211ББИИН012,99,ZoneEssayText,Click,1639841485,2,Essay
М211ББИИН012,100,ZoneEssayText,Click,1639841487,0,Essay
